flight_number\_(º-º)_/vehicle_type\_(º-º)_/departure_airport\_(º-º)_/vehicle_brand\_(º-º)_/arrival_airport\_(º-º)_/vehicle_model\_(º-º)_/departure_date\_(º-º)_/license_plate\_(º-º)_/arrival_date\_(º-º)_/driver_name\_(º-º)_/duration\_(º-º)_/driver_age\_(º-º)_/passenger_count\_(º-º)_/start_location\_(º-º)_/end_location\_(º-º)_/start_time\_(º-º)_/end_time
3379\_(º-º)_/train\_(º-º)_/PET\_(º-º)_/Volkswagen\_(º-º)_/OAM\_(º-º)_/Corolla\_(º-º)_/5/28/2022\_(º-º)_/QWE321\_(º-º)_/3/19/2022\_(º-º)_/Moyra Khotler\_(º-º)_/7\_(º-º)_/21\_(º-º)_/217\_(º-º)_/3251 Morningstar Plaza\_(º-º)_/93 Fisk Pass\_(º-º)_/4/28/2022\_(º-º)_/6/27/2022
9736\_(º-º)_/scooter\_(º-º)_/BBL\_(º-º)_/BMW\_(º-º)_/OSM\_(º-º)_/C-Class\_(º-º)_/9/20/2022\_(º-º)_/DEF456\_(º-º)_/11/14/2022\_(º-º)_/Joya Dwelly\_(º-º)_/7\_(º-º)_/21\_(º-º)_/124\_(º-º)_/6 Center Lane\_(º-º)_/11157 Fremont Drive\_(º-º)_/1/7/2022\_(º-º)_/9/9/2022
763\_(º-º)_/taxi\_(º-º)_/SQD\_(º-º)_/Volkswagen\_(º-º)_/MYF\_(º-º)_/Civic\_(º-º)_/1/21/2022\_(º-º)_/ABC123\_(º-º)_/12/7/2022\_(º-º)_/Malorie Tidbald\_(º-º)_/5\_(º-º)_/19\_(º-º)_/44\_(º-º)_/6 Buhler Way\_(º-º)_/683 Rusk Place\_(º-º)_/3/1/2022\_(º-º)_/3/24/2022
9166\_(º-º)_/motorcycle\_(º-º)_/KAR\_(º-º)_/BMW\_(º-º)_/GFD\_(º-º)_/Cruze\_(º-º)_/2/16/2022\_(º-º)_/EDC147\_(º-º)_/11/18/2022\_(º-º)_/Leann Muckloe\_(º-º)_/3\_(º-º)_/52\_(º-º)_/81\_(º-º)_/74 Chive Drive\_(º-º)_/1271 Oak Hill\_(º-º)_/8/31/2022\_(º-º)_/2/23/2022
5546\_(º-º)_/taxi\_(º-º)_/BCM\_(º-º)_/Toyota\_(º-º)_/FTK\_(º-º)_/Civic\_(º-º)_/6/14/2022\_(º-º)_/QWE321\_(º-º)_/10/5/2022\_(º-º)_/Almeta McGilben\_(º-º)_/2\_(º-º)_/58\_(º-º)_/101\_(º-º)_/60452 Express Park\_(º-º)_/56 Mccormick Park\_(º-º)_/9/18/2022\_(º-º)_/12/17/2022
9017\_(º-º)_/car\_(º-º)_/RUG\_(º-º)_/Hyundai\_(º-º)_/MGI\_(º-º)_/Focus\_(º-º)_/10/25/2022\_(º-º)_/QAZ852\_(º-º)_/2/20/2022\_(º-º)_/Marlena Cantillion\_(º-º)_/11\_(º-º)_/56\_(º-º)_/103\_(º-º)_/6855 Chinook Hill\_(º-º)_/46 Vahlen Circle\_(º-º)_/2/19/2022\_(º-º)_/1/9/2022
2091\_(º-º)_/scooter\_(º-º)_/KYK\_(º-º)_/Hyundai\_(º-º)_/ORJ\_(º-º)_/Focus\_(º-º)_/7/1/2022\_(º-º)_/QWE321\_(º-º)_/1/31/2022\_(º-º)_/Kalie Mellish\_(º-º)_/13\_(º-º)_/65\_(º-º)_/479\_(º-º)_/66 Helena Center\_(º-º)_/095 Kipling Crossing\_(º-º)_/10/3/2022\_(º-º)_/6/17/2022
7529\_(º-º)_/subway\_(º-º)_/BHS\_(º-º)_/Ford\_(º-º)_/CVT\_(º-º)_/A4\_(º-º)_/7/3/2022\_(º-º)_/ABC123\_(º-º)_/11/10/2022\_(º-º)_/Heidi Danbi\_(º-º)_/7\_(º-º)_/21\_(º-º)_/422\_(º-º)_/3915 Fulton Place\_(º-º)_/2 Shoshone Court\_(º-º)_/12/19/2022\_(º-º)_/8/23/2022
9447\_(º-º)_/motorcycle\_(º-º)_/RIH\_(º-º)_/Audi\_(º-º)_/NVI\_(º-º)_/Focus\_(º-º)_/7/18/2022\_(º-º)_/RFV258\_(º-º)_/7/5/2022\_(º-º)_/Valenka Marriage\_(º-º)_/23\_(º-º)_/40\_(º-º)_/455\_(º-º)_/2 Raven Terrace\_(º-º)_/3777 Rowland Drive\_(º-º)_/12/4/2022\_(º-º)_/9/28/2022
2301\_(º-º)_/car\_(º-º)_/SBG\_(º-º)_/BMW\_(º-º)_/TIR\_(º-º)_/C-Class\_(º-º)_/1/13/2022\_(º-º)_/QAZ852\_(º-º)_/7/24/2022\_(º-º)_/Byram Heinsen\_(º-º)_/7\_(º-º)_/50\_(º-º)_/62\_(º-º)_/743 Mcbride Avenue\_(º-º)_/360 Heath Center\_(º-º)_/8/28/2022\_(º-º)_/4/9/2022
